ཀ,k+,k
ཀྱ,ky+,c
ཀྲ,tr+,tr
ཀླ,l+,l
དཀ,k+,[r]k
དཀྱ,ky+,[r]c
དཀྲ,tr+,[r]tr
བཀ,k+,[b]k
བཀྱ,ky+,[b]c
བཀྲ,tr+,[b]tr
བཀླ,l+,[b]l
རྐ,k+,[r]k
རྐྱ,ky+,[r]c
ལྐ,k+,[l]k
སྐ,k+,[s]k
སྐྱ,ky+,[s]c
སྐྲ,tr+,[s]tr
བརྐ,k+,[b]k
བརྐྱ,ky+,[b]c
བསྐ,k+,[b]k
བསྐྱ,ky+,[b]c
བསྐྲ,tr+,[b]tr
ཁ,kh+,k+
ཁྱ,khy+,c+
ཁྲ,thr+,tr+
མཁ,~kh+,[m]k+
མཁྱ,~khy+,[m]c+
མཁྲ,~thr+,[m]tr+
འཁ,~kh+,[']k+
འཁྱ,~khy+,[']c+
འཁྲ,~thr+,[']tr+
ག,kh-,k
གྱ,khy-,c
གྲ,thr-,tr
གླ,l+,l
དག*,k-,[r]g
དགྱ,ky-,[r]j
དགྲ,tr-,[r]dr
བག*,k-,[b]g
བགྱ,ky-,[b]j
བགྲ,tr-,[b]dr
མག*,~k-,[m]g
མགྱ,~ky-,[m]j
མགྲ,~tr-,[m]dr
འག*,~k-,[']g
འགྱ,~ky-,[']j
འགྲ,~tr-,[']dr
རྒ,k-,[r]g
རྒྱ,ky-,[r]j
ལྒ,k-,[l]g
སྒ,k-,[s]g
སྒྱ,ky-,[s]j
སྒྲ,tr-,[s]dr
བརྒ,k-,g
བརྒྱ,ky-,[b]j
བསྒ,k-,[b]g
བསྒྱ,ky-,[b]j
བསྒྲ,tr-,[b]dr
ང,ng-,ng
དང*,ng+,[r]ng
མང*,~ng+,[m]ng
རྔ,ng+,[r]ng
ལྔ,ng+,[l]ng
སྔ,ng+,[s]ng
བརྔ,ng+,[b]ng
བསྔ,ng+,[b]ng
ཅ,c+,c
གཅ,c+,[r]c
བཅ,c+,[b]c
ལྕ,c+,[l]c
ཆ,ch+,c+
མཆ,~ch+,[m]c+
འཆ,~ch+,[b]c+
ཇ,ch-,c
མཇ,~c-,[m]j
འཇ,~c-,[']j
རྗ,c-,[r]j
ལྗ,~c-,[l]j
བརྗ,c-,[b]j
ཉ,ny-,ny
གཉ,ny+,[r]ny
མཉ,~ny+,[m]ny
རྙ,ny+,[r]ny
སྙ,ny+,[s]ny
བརྙ,ny+,[b]ny
བསྙ,ny+,[b]ny
ཏ,t+,t
གཏ,t+,[r]t
བཏ,t+,[b]t
རྟ,t+,[r]t
ལྟ,~t+,[l]t
སྟ,t+,[s]t
བརྟ,t+,[b]t
བལྟ,t+,[b]t
བསྟ,t+,[b]t
ཐ,th+,t+
མཐ,~th+,[m]t+
འཐ,~th+,[']t+
ད,th-,t
དྲ,thr-,tr
གད*,t-,[r]d
བད*,t-,[b]d
མད*,~t-,[m]d
འད*,~t-,[']d
འདྲ,~tr-,[']dr
རྡ,t-,[r]d
ལྡ,~t-,[l]d
སྡ,t-,[s]d
བརྡ,t-,[b]d
བལྡ,t-,[b]d
བསྡ,t-,[b]d
ན,n-,n
གན*,n+,[r]n
མན*,~n+,[m]n
རྣ,n+,[r]n
སྣ,n+,[s]n
བརྣ,n+,[b]n
བསྣ,n+,[b]n
པ,p+,p
པྱ,c+,sh
པྲ,tr+,tr
དཔ,p+,hw
དཔྱ,c+,[r]sh
དཔྲ,tr+,tr
ལྤ,p+,[l]p
སྤ,p+,[s]p
སྤྱ,c+,[s]c
སྤྲ,tr+,[s]tr
ཕ,ph+,p+
ཕྱ,ch+,sh
ཕྲ,thr+,tr+
འཕ,~ph+,[']ph
འཕྱ,~ch+,[']sh
འཕྲ,~thr+,[']tr+
བ,ph-,w
བྱ,ch-,sh
བྲ,thr-,tr
བླ,l+,l
དབ*,+,R
དབྱ,y+,[r]y
དབྲ,r+,
འབ*,~p-,[']b
འབྱ,~c-,[']j
འབྲ,~tr-,
རྦ,p-,[r]b
ལྦ,p-,[l]b
སྦ,p-,[s]p
སྦྱ,c-,[s]j
སྦྲ,tr-,[s]dr
མ,m-,m
མྱ,ny-,ny
དམ*,m+,[r]m
དམྱ,ny+,[r]ny
རྨ,m+,[r]m
རྨྱ,ny+,[r]ny
སྨ,m+,[s]m
སྨྱ,ny+,[s]ny
ཙ,ts+,ts
གཙ,ts+,[r]
བཙ,ts+,[b]ts
རྩ,ts+,[r]ts
སྩ,ts+,[s]ts
བརྩ,ts+,[b]ts
བསྩ,ts+,[b]ts
ཚ,tsh+,ts+
མཚ,~tsh+,[m]ts+
འཚ,~tsh+,[']ts+
ཛ,tsh-,ts
མཛ,~ts-,[m]ts
འཛ,~ts-,[']ts
རྫ,ts-,[r]dz
བརྫ,ts-,[b]dz
ཝ,w-,Rw
ཞ,sh-,sh
གཞ,sh-,[r]sh
བཞ,sh-,[b]sh
ཟ,s-,s
ཟླ,~t-,d
གཟ,s-,[r]z
བཟ,s-,[b]z
བཟླ,t-,[b]d
འ,-,_
ཡ,y-,y
གཡ,y+,[r]y
ར,r-,r
རླ,l+,[r]l
བརླ,l+,[r]l
ལ,l-,l
ཤ,sh+,x
གཤ,sh+,[r]x
བཤ,sh+,[b]x
ས,s+,s+
སྲ,s+,sr
སླ,l+,l+
གས*,s+,[r]s+
བས*,s+,[b]s+
བསྲ,s+,[b]sr
བསླ,l+,[b]l+
ཧ,h+,h
ཧྲ,rh+,sr
ལྷ,lh+,l+
ཨ,+,_
བགླ,l+,l
མྲ,m+,m
སྨྲ,m+,m
ཏྲ,tr+,tr
བརྟ,t+,[b]t
ཐྲ,thr+,tr+
སྣྲ,n+,[b]n
