#matchcql	idx	op	replacecql

[pos="DET"] [pos="SCONJ"]	2	=	[pos="ADP"]
[pos="DET"] ["སྟེ་" & pos="SCONJ"]	2	=	[pos="SCONJ"]
[pos="DET"] ["ཅིང་" & pos="SCONJ"]	2	=	[pos="SCONJ"]
[pos="DET"] ["ཞིང་" & pos="SCONJ"]	2	=	[pos="NOUN"]
[pos="DET"] ["ཤིང་" & pos="SCONJ"]	2	=	[pos="NOUN"]
[pos="NOUN"] [pos="SCONJ"]	2	=	[pos="ADP"]
[pos="NOUN"] ["སྟེ་" & pos="SCONJ"]	2	=	[pos="SCONJ"]
[pos="NOUN"] ["ཏེ་" & pos="SCONJ"]	2	=	[pos="SCONJ"]
[pos="NOUN"] ["ཞིང་" & pos="SCONJ"]	2	=	[pos="SCONJ"]
[pos="NOUN"] ["ཤིང་" & pos="SCONJ"]	2	=	[pos="SCONJ"]
[pos="NOUN"] ["ཤིང་" & pos="SCONJ"] [] [pos="ADP"]	2	=	[pos="NOUN"]
[pos="PRON"] ["ནས་" & pos="SCONJ"]	2	=	[pos="ADP"]
["སུ་"] [pos="PRON"] ["ནས་" & pos="SCONJ"]	3	=	[pos="SCONJ"]
[pos="NUM"] [pos="SCONJ"]	2	=	[pos="ADP"]
[pos="NUM"] ["སྟེ་" & pos="SCONJ"]	2	=	[pos="SCONJ"]
[pos="ADP"] [pos="SCONJ"]	2	=	[pos="NOUN"]
[pos="NOUN"] [pos="ADP"] ["ནས་" & pos="SCONJ"]	3	=	[pos="ADP"]
[pos="ADP"] ["ཏེ་" & pos="SCONJ"]	2	=	[pos="SCONJ"]

